lat,lng,altura,velocidad
12.273,-74.191,4.937,197.115
10.960,-72.439,3.461,190.454
9.923,-73.956,17.952,589.775
2.855,-72.787,13.736,172.137
10.978,-78.163,1.303,383.927
3.512,-78.670,9.784,705.648
8.744,-78.391,13.019,347.087
7.372,-71.789,3.415,84.740
6.918,-75.204,14.410,329.487
4.724,-75.329,15.347,529.591
4.787,-75.985,10.007,215.345
5.389,-73.688,4.777,704.748
1.950,-75.854,3.586,86.288
8.966,-76.584,17.446,695.186
8.564,-78.391,13.663,476.534
1.999,-76.109,17.771,250.448
8.420,-75.381,4.222,680.957
9.507,-76.762,5.640,240.622
4.967,-78.130,15.121,598.022
3.253,-78.752,13.978,159.767
11.061,-77.421,1.576,546.022
6.737,-76.807,5.409,460.329
5.231,-74.127,14.979,25.375
10.125,-76.199,11.840,689.176
4.626,-77.988,9.121,375.275
7.836,-77.353,7.973,193.791
6.505,-77.402,0.944,151.509
8.252,-78.122,19.462,709.718
10.548,-72.188,15.341,265.087
12.225,-74.864,5.584,637.330
2.356,-76.530,5.770,175.712
6.048,-75.198,1.845,161.684
6.911,-78.925,8.440,321.762
4.363,-76.288,8.311,401.638
7.129,-78.327,12.675,581.744
7.993,-75.543,6.695,448.615
9.653,-74.231,2.301,155.754
4.369,-73.270,16.408,188.433
10.899,-74.030,14.475,586.217
2.396,-77.185,1.581,591.318
4.059,-77.849,4.715,570.983
9.508,-76.900,2.061,739.722
5.636,-71.620,13.618,323.874
2.126,-74.312,16.365,440.410
10.574,-77.344,8.703,655.189
6.653,-73.584,6.384,444.891
5.578,-78.118,10.722,529.587
3.699,-78.675,6.235,58.344
6.662,-73.244,12.148,113.955
5.759,-72.341,11.293,249.910
12.153,-73.551,15.574,725.306
11.872,-77.306,8.615,99.566
7.992,-73.848,14.227,523.848
3.913,-74.971,7.616,377.775
10.800,-72.690,19.375,664.248
2.015,-71.953,19.993,622.514
11.105,-74.706,19.807,375.254
3.929,-71.807,4.901,227.368
6.742,-73.601,9.266,226.484
6.959,-78.915,13.810,631.784
2.267,-73.387,2.795,370.612
10.995,-75.558,19.083,484.663
3.056,-72.078,19.601,566.946
7.794,-76.462,15.528,73.802
3.229,-77.750,0.245,653.346
8.381,-75.112,16.137,549.652
4.163,-73.708,17.661,544.175
6.132,-72.169,18.915,178.730
10.792,-78.699,16.353,556.465
9.932,-77.769,5.728,169.335
11.680,-77.138,13.271,219.282
11.029,-74.084,12.963,665.265
2.051,-77.302,16.980,174.223
5.684,-74.252,13.731,268.552
3.171,-77.746,7.620,533.459
1.978,-78.779,2.049,567.364
11.352,-75.602,16.826,196.444
10.653,-74.497,9.554,566.067
10.390,-77.540,15.027,692.923
2.077,-75.033,10.719,366.444
4.636,-72.710,11.290,439.114
3.821,-71.978,7.292,547.263
10.664,-78.185,13.033,194.431
3.851,-73.936,17.243,358.360
2.642,-72.544,1.103,159.114
9.363,-75.242,2.582,712.177
